Predictor1,Predictor2,Predictor3,Predictor4,Predictor5,Predictor6,Predictor7,Predictor8,Predictor9,Predictor10,Target1,Target2
HS-I-UFK-QTF,BKNDH,Yze Cpbftcpo,C,P,AXM,LW,3,1,5,1,0
OT-I-RGT-FRI1,BKNQG,Yze Cpbftcpo,A,M,YMP,SX,1,1,2,0,0
XB-I-VFD-QTF,BKNFH,Spwo,B,Q,AXM,BF,3,2,1,0,0
JL-I-VKX-QTF,BKNQF,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Q,AXM,NP,6,1,6,0,0
JC-I-LFF-QTF,BKNQF,Yze Cpbftcpo,D,G,AXM,NG,4,2,2,0,1
NX-I-LKN-RTI1,BKNQH,Yze Cpbftcpo,B,G,PAY,RB,1,1,2,0,1
RT-I-JFA-FRI6,BKNQG,Yze Cpbftcpo,A,E,YMP,VX,1,1,2,0,0
ST-I-VGZ-FRI3,BKNFH,Spwo,B,Q,YMP,WX,5,3,4,0,0
XW-I-SFN-RTI1,BKNRG,Yze Cpbftcpo,B,N,PAY,BA,6,3,6,1,0
NX-I-WJF-FRI4,BKNQH,Yze Cpbftcpo,A,R,YMP,RB,2,1,1,0,0
NI-I-VFX-FRI1,BKNDG,Hltgpo,C,Q,YMP,RM,6,1,4,0,0
XS-I-UFF-FRI5,BKNDG,Yze Cpbftcpo,B,P,YMP,BW,6,2,2,1,0
JL-I-TFF-RTI1,BKNQF,Yze Cpbftcpo,B,O,PAY,NP,3,1,2,1,0
YZ-I-FFW-QTF,BKNQG,Yze Cpbftcpo,C,A,AXM,CD,13,1,5,0,1
HN-I-DFG-FRI10,BKNDF,Hltgpo,B,Y,YMP,LR,2,1,1,0,0
NX-I-LJL-FRI1,BKNQH,Yze Cpbftcpo,B,G,YMP,RB,2,1,5,0,0
FW-I-VFA-FRI6,BKNDF,Spwo,B,Q,YMP,JA,2,1,3,0,0
SG-I-LFH-QTF,BKNFG,Yze Cpbftcpo,D,G,AXM,DY,4,1,3,0,0
RT-I-HGS-FRI12,BKNQG,Yze Cpbftcpo,B,C,YMP,VX,2,1,1,0,0
OF-I-JFH-FRI1,BKNDH,Yze Cpbftcpo,A,E,YMP,SJ,1,1,4,0,0
NX-I-PJF-RTI2,BKNQH,Yze Cpbftcpo,A,K,PAY,RB,3,1,1,0,0
IA-I-QFQ-FRI3,BKNFH,Yze Cpbftcpo,D,L,YMP,NW,3,1,2,1,0
PX-I-IGO-FRI6,BKNDF,Hltgpo,C,D,YMP,TB,2,1,2,0,0
XE-I-KFF-QTF,BKNFI,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,F,AXM,BI,12,2,5,1,0
JL-I-VHR-FRI2,BKNQF,Hltgpo,B,Q,YMP,NP,2,1,1,1,1
PX-I-LPP-QTF,BKNDF,Yze Cpbftcpo,C,G,AXM,TB,3,1,4,0,0
IJ-I-HFJ-FRI5,BKNFH,Yze Cpbftcpo,B,C,YMP,MN,1,1,3,1,0
FY-I-VHS-FRI5,BKNDG,Spwo,B,Q,YMP,JC,2,2,4,0,0
GJ-I-XFJ-RTI1,BKNFI,Yze Cpbftcpo,B,S,PAY,KN,1,1,1,0,1
NX-I-PIL-RTI5,BKNQH,Yze Cpbftcpo,A,K,PAY,RB,1,1,2,0,0
FW-I-UFF-FRI5,BKNDF,Yze Cpbftcpo,B,P,YMP,JA,1,1,1,1,0
WT-I-LFK-RTI1,BKNFG,Yze Cpbftcpo,B,G,PAY,AX,2,1,3,0,1
PX-I-VLX-QTF,BKNDF,Spwo,B,Q,AXM,TB,3,1,4,0,0
YP-I-JGO-QTF,BKNFF,Yze Cpbftcpo,A,E,AXM,CT,1,1,1,0,0
PX-I-VLR-FRI3,BKNDF,Spwo,C,Q,YMP,TB,1,1,2,0,0
PX-I-LHV-FRI3,BKNDF,Yze Cpbftcpo,B,G,YMP,TB,5,1,2,0,0
OT-I-VHT-RTI1,BKNQG,Yze Cpbftcpo,B,Q,PAY,SX,2,1,1,0,0
GJ-I-TFH-QTF,BKNFI,Yze Cpbftcpo,C,O,AXM,KN,3,1,2,0,0
PX-I-TGA-FRI2,BKNDF,Yze Cpbftcpo,B,O,YMP,TB,2,1,3,0,1
JH-I-VFX-QTF,BKNDF,Spwo,C,Q,AXM,NL,4,2,4,0,1
P7-I-SGB-FRI1,BKNFF,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,N,YMP,T7,2,2,2,0,0
HS-I-VHU-FRI1,BKNDH,Spwo,B,Q,YMP,LW,5,1,4,0,0
GW-I-LFP-FRI1,BKNDF,Yze Cpbftcpo,B,G,YMP,KA,2,1,1,0,0
OT-I-WGH-FRI2,BKNQG,Yze Cpbftcpo,A,R,YMP,SX,1,1,3,0,0
GJ-I-VGI-FRI15,BKNFI,Spwo,B,Q,YMP,KN,2,2,2,0,0
ZP-I-VIW-FRI1,BKNFI,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Q,YMP,DT,1,1,2,1,0
GF-I-VFY-FRI27,BKNRG,Spwo,B,Q,YMP,KJ,34,7,3,1,0
WT-I-VFM-FRI9,BKNFG,Spwo,B,Q,YMP,AX,42,6,3,0,0
PZ-I-FFH-RTI2,BKNRG,Yze Cpbftcpo,B,A,PAY,TD,2,1,1,1,1
PX-I-JGB-QTF,BKNDF,Yze Cpbftcpo,A,E,AXM,TB,1,1,1,1,0
HS-I-LGC-QTF,BKNDH,Yze Cpbftcpo,B,G,AXM,LW,3,1,1,0,0
OF-I-WHM-QTF,BKNDH,Yze Cpbftcpo,A,R,AXM,SJ,2,1,3,1,0
UG-I-VGT-FRI1,BKNQG,Spwo,D,Q,YMP,KL,2,1,1,0,0
UY-I-VFU-FRI7,BKNFI,Spwo,B,Q,YMP,YC,10,2,4,1,0
PX-I-VLT-FRI3,BKNDF,Spwo,B,Q,YMP,TB,5,1,2,0,0
XS-I-VFC-FRI2,BKNDG,Hltgpo,B,Q,YMP,BW,5,3,4,1,1
NX-I-LKG-FRI2,BKNQH,Yze Cpbftcpo,B,G,YMP,RB,2,2,4,1,0
YZ-I-VFT-FRI6,BKNQG,Spwo,B,Q,YMP,CD,14,2,5,1,0
OT-I-VHN-FRI7,BKNQG,Spwo,B,Q,YMP,SX,3,1,3,0,0
YM-I-VFN-RTI1,BKNDG,Hltgpo,B,Q,PAY,CQ,1,1,1,0,0
FJ-I-XFI-QTF,BKNRG,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,S,AXM,JN,44,5,12,0,0
OT-I-JFW-FRI7,BKNQG,Yze Cpbftcpo,A,E,YMP,SX,1,1,1,0,0
RC-I-VFL-FRI3,BKNDH,Spwo,B,Q,YMP,VG,1,1,1,1,0
LW-I-HFH-QTF,BKNFF,Yze Cpbftcpo,B,C,AXM,PA,1,1,1,0,0
YP-I-LIT-QTF,BKNFF,Yze Cpbftcpo,B,G,AXM,CT,5,1,1,0,0
UP-I-LFN-FRI1,BKNQH,Spwo,B,G,YMP,YT,2,1,4,1,0
OT-I-VIG-FRI1,BKNQG,Spwo,B,Q,YMP,SX,4,1,2,0,0
PX-I-VKS-FRI2,BKNDF,Spwo,B,Q,YMP,TB,11,2,4,1,1
XU-I-VFY-FRI21,BKNFI,Spwo,C,Q,YMP,BY,10,3,1,0,1
FY-I-VHV-FRI8,BKNDG,Hltgpo,B,Q,YMP,JC,2,1,3,1,0
SN-I-DFG-FRI2,BKNQG,Spwo,B,Y,YMP,WR,2,1,1,0,0
XE-I-DFJ-QTF,BKNFI,Spwo,C,Y,AXM,BI,13,1,10,0,1
HN-I-LGQ-FRI11,BKNDF,Yze Cpbftcpo,B,G,YMP,LR,3,2,3,0,0
YP-I-RGS-QTF,BKNFF,Yze Cpbftcpo,B,M,AXM,CT,2,1,2,0,0
UQ-I-XFO-QTF,BKNFG,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,S,AXM,YU,19,4,14,1,0
SJ-I-XFF-RTI1,BKNFI,Yze Cpbftcpo,B,S,PAY,WN,4,1,1,0,0
FY-I-DFP-FRI1,BKNDG,Spwo,C,Y,YMP,JC,9,1,4,0,1
IJ-I-JFN-FRI1,BKNFH,Yze Cpbftcpo,B,E,YMP,MN,2,1,2,0,0
ST-I-XFL-RTI4,BKNFH,Yze Cpbftcpo,B,S,PAY,WX,12,2,2,1,0
LD-I-IJE-QTF,BKNFI,Spwo,C,D,AXM,PH,1,1,8,0,0
NV-I-VHL-FRI1,BKNRF,Spwo,B,Q,YMP,RZ,1,1,2,0,0
GF-I-VIG-FRI1,BKNRG,Spwo,B,Q,YMP,KJ,3,1,3,0,0
PX-I-JGZ-QTF,BKNDF,Yze Cpbftcpo,B,E,AXM,TB,1,1,1,0,0
YP-I-RGU-FRI3,BKNFF,Yze Cpbftcpo,B,M,YMP,CT,1,1,1,1,0
HN-I-LGP-FRI15,BKNDF,Yze Cpbftcpo,B,G,YMP,LR,3,2,2,0,1
OT-I-QFI-FRI2,BKNQG,Yze Cpbftcpo,B,L,YMP,SX,5,1,2,0,1
OT-I-IFW-RTI2,BKNQG,Yze Cpbftcpo,B,D,PAY,SX,2,1,2,0,0
OT-I-PIN-FRI10,BKNQG,Yze Cpbftcpo,A,K,YMP,SX,1,1,2,0,0
XW-I-LFX-FRI1,BKNRG,Yze Cpbftcpo,B,G,YMP,BA,1,1,4,0,1
IY-I-XFH-FRI1,BKNDG,Hltgpo,D,S,YMP,EV,6,2,3,0,0
NI-I-VFB-QTF,BKNDG,Spwo,C,Q,AXM,RM,3,1,5,1,0
U7-I-VFF-FRI1,BKNQG,Spwo,D,Q,YMP,AF,9,1,2,1,0
S4-I-LFF-FRI3,BKNFF,Yze Cpbftcpo,B,G,YMP,W4,1,1,2,0,1
OF-I-WIK-QTF,BKNDH,Yze Cpbftcpo,A,R,AXM,SJ,1,1,1,0,0
YB-I-VFU-FRI2,BKNDH,Hltgpo,C,Q,YMP,CF,3,2,6,0,0
FZ-I-LFQ-RTI1,BKNFG,Yze Cpbftcpo,B,G,PAY,JD,2,1,1,0,0
SC-I-VFF-FRI3,BKNFG,Spwo,D,Q,YMP,DY,2,1,1,0,0
SA-I-VFP-QTF,BKNQG,Spwo,D,Q,AXM,TN,4,3,2,1,0
OF-I-VKM-FRI1,BKNDH,Spwo,C,Q,YMP,SJ,22,2,5,1,0
YM-I-WGT-FRI4,BKNDG,Yze Cpbftcpo,A,R,YMP,CQ,1,1,2,0,0
PX-I-LIL-FRI1,BKNDF,Yze Cpbftcpo,B,G,YMP,TB,3,1,1,0,0
UQ-I-TFN-QTF,BKNFG,Yze Cpbftcpo,B,O,AXM,YU,1,1,4,0,0
OF-I-PIG-QTF,BKNDH,Yze Cpbftcpo,A,K,AXM,SJ,1,1,1,0,0
NX-I-IFP-FRI2,BKNQH,Hltgpo,B,D,YMP,RB,1,1,1,0,0
NX-I-WGE-FRI3,BKNQH,Yze Cpbftcpo,A,R,YMP,RB,1,1,3,0,0
XW-I-VIE-QTF,BKNRG,Spwo,C,Q,AXM,BA,63,10,8,1,1
PX-I-VJB-FRI4,BKNDF,Spwo,B,Q,YMP,TB,2,1,2,0,0
B4-I-VFF-FRI3,BKNFF,Spwo,C,Q,YMP,F4,17,2,6,0,1
RK-I-FFN-QTF,BKNDG,Yze Cpbftcpo,B,A,AXM,VO,1,1,2,1,1
FY-I-DFK-FRI4,BKNDG,Spwo,C,Y,YMP,JC,14,2,2,0,1
NX-I-XFH-FRI8,BKNQH,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,S,YMP,RB,53,5,9,1,1
PX-I-VHD-RTI5,BKNDF,Yze Cpbftcpo,B,Q,PAY,TB,2,2,1,0,0
NX-I-VKU-FRI2,BKNQH,Spwo,B,Q,YMP,RB,3,1,3,0,0
HN-I-LGK-FRI6,BKNDF,Yze Cpbftcpo,B,G,YMP,LR,5,2,5,1,0
XB-I-DFF-QTF,BKNFH,Hltgpo,C,Y,AXM,BF,19,2,6,0,0
UY-I-VFZ-FRI4,BKNFI,Spwo,B,Q,YMP,YC,15,5,3,1,1
ZP-I-UFJ-QTF,BKNFI,Yze Cpbftcpo,B,P,AXM,DT,1,1,1,0,0
KW-I-VHG-QTF,BKNFI,Hltgpo,C,Q,AXM,OA,7,1,5,0,0
XW-I-VGW-FRI4,BKNRG,Hltgpo,B,Q,YMP,BA,9,2,3,1,0
OT-I-WFD-FRI9,BKNQG,Yze Cpbftcpo,A,R,YMP,SX,1,1,1,0,0
WT-I-VFG-RTI2,BKNFG,Yze Cpbftcpo,B,Q,PAY,AX,2,0,1,0,1
PX-I-VMM-QTF,BKNDF,Spwo,C,Q,AXM,TB,11,4,12,0,1
YB-I-LIV-QTF,BKNDH,Yze Cpbftcpo,B,G,AXM,CF,9,1,2,0,0
IB-I-VFX-QTF,BKNDG,Spwo,D,Q,AXM,LN,1,1,2,0,0
OT-I-JGH-FRI2,BKNQG,Yze Cpbftcpo,A,E,YMP,SX,1,1,1,0,0
PX-I-LHG-FRI3,BKNDF,Yze Cpbftcpo,B,G,YMP,TB,4,1,3,1,0
OF-I-WIH-QTF,BKNDH,Yze Cpbftcpo,A,R,AXM,SJ,1,1,1,0,0
YP-I-LID-QTF,BKNFF,Yze Cpbftcpo,B,G,AXM,CT,7,1,3,1,0
KN-I-LFF-RTI1,BKNFH,Yze Cpbftcpo,B,G,PAY,OR,2,1,1,1,0
OT-I-WGH-FRI4,BKNQG,Yze Cpbftcpo,A,R,YMP,SX,1,1,1,0,0
IY-I-VGZ-QTF,BKNQF,Spwo,D,Q,AXM,D2,4,2,3,0,0
UP-I-VFF-FRI9,BKNQH,Spwo,B,Q,YMP,YT,1,1,2,1,0
IG-I-VFG-FRI3,BKNDG,Hltgpo,D,Q,YMP,RM,1,1,1,0,0
SA-I-VFC-RTI1,BKNDH,Yze Cpbftcpo,D,Q,PAY,CF,2,1,1,0,0
PZ-I-IFH-RTI2,BKNRG,Yze Cpbftcpo,B,D,PAY,TD,3,1,1,0,0
YB-I-HFE-QTF,BKNDH,Yze Cpbftcpo,B,C,AXM,CF,1,1,1,0,0
PX-I-VKS-FRI3,BKNDF,Spwo,B,Q,YMP,TB,4,2,2,1,1
HN-I-VFY-FRI2,BKNDF,Spwo,C,Q,YMP,LR,21,3,4,0,1
NV-I-LGF-RTI2,BKNRF,Yze Cpbftcpo,B,G,PAY,RZ,1,1,1,0,0
PX-I-IGT-FRI1,BKNDF,Spwo,C,D,YMP,TB,2,1,3,0,1
HN-I-LGQ-FRI12,BKNDF,Yze Cpbftcpo,B,G,YMP,LR,1,1,2,1,0
NX-I-FGU-RTI2,BKNQH,Yze Cpbftcpo,B,A,PAY,RB,1,1,1,0,0
YB-I-IFN-FRI2,BKNDH,Hltgpo,B,D,YMP,CF,3,1,2,0,0
HS-I-IFX-QTF,BKNDH,Spwo,B,D,AXM,LW,1,1,2,0,0
OT-I-JFW-FRI6,BKNQG,Yze Cpbftcpo,A,E,YMP,SX,1,1,2,0,0
YB-I-FGN-FRI1,BKNDH,Yze Cpbftcpo,B,A,YMP,CF,4,1,1,1,0
RC-I-VFL-FRI2,BKNDH,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Q,YMP,VG,3,1,4,1,0
S4-I-HFG-FRI1,BKNFF,Hltgpo,B,C,YMP,W4,4,1,4,0,0
YM-I-HGY-QTF,BKNDG,Yze Cpbftcpo,B,C,AXM,CQ,1,1,3,0,0
IA-I-VFT-QTF,BKNFH,Spwo,D,Q,AXM,UP,3,1,3,0,1
YM-I-FGU-FRI1,BKNDG,Yze Cpbftcpo,C,A,YMP,CQ,3,1,2,0,0
UQ-I-VGI-QTF,BKNFG,Hltgpo,C,Q,AXM,YU,11,2,7,1,0
XB-I-IFP-QTF,BKNFH,Hltgpo,C,D,AXM,BF,3,1,3,0,0
U7-I-XFF-FRI9,BKNQG,Yze Spwo zc Hltgpo mfe Cpbftcpo,D,S,YMP,AF,6,1,2,1,0
HN-I-LGY-FRI1,BKNDF,Yze Cpbftcpo,B,G,YMP,LR,1,1,1,0,0
P7-I-FFN-FRI1,BKNFF,Yze Cpbftcpo,B,A,YMP,T7,1,1,1,0,0
FW-I-XFN-FRI3,BKNDF,Hltgpo,C,S,YMP,JA,21,2,6,1,0
P7-I-LKF-QTF,BKNFF,Yze Cpbftcpo,B,G,AXM,T7,2,1,3,0,0
NX-I-LIY-FRI2,BKNQH,Yze Cpbftcpo,B,G,YMP,RB,4,1,2,0,0
NY-I-XFL-FRI21,BKNFI,Hltgpo,C,S,YMP,RC,102,5,3,1,0
FY-I-DFL-RTI1,BKNDG,Yze Cpbftcpo,B,Y,PAY,JC,5,1,2,0,1
UY-I-VFQ-FRI7,BKNFI,Hltgpo,B,Q,YMP,YC,10,1,1,0,0
PX-I-VLR-QTF,BKNDF,Spwo,B,Q,AXM,TB,3,1,6,0,0
B4-I-TFF-FRI5,BKNFF,Yze Cpbftcpo,C,O,YMP,F4,2,1,2,0,0
PX-I-VMJ-QTF,BKNDF,Spwo,C,Q,AXM,TB,39,9,13,1,1
NX-I-FIG-QTF,BKNQH,Yze Cpbftcpo,B,A,AXM,RB,2,1,2,0,0
SJ-I-VFX-FRI10,BKNFI,Hltgpo,B,Q,YMP,WN,9,1,1,0,0
NX-I-TFL-QTF,BKNQH,Yze Cpbftcpo,C,O,AXM,RB,5,2,4,0,0
IG-I-IFG-QTF,BKNFH,Yze Spwo zc Hltgpo mfe Cpbftcpo,D,D,AXM,UP,3,1,6,0,0
GJ-I-DHF-QTF,BKNFI,Spwo,C,Y,AXM,KN,10,1,14,0,0
RT-I-TFI-FRI3,BKNQG,Yze Cpbftcpo,B,O,YMP,VX,1,1,3,0,0
NI-I-VFC-FRI2,BKNDG,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Q,YMP,RM,3,2,2,0,0
OT-I-VGS-RTI1,BKNQG,Yze Cpbftcpo,B,Q,PAY,SX,1,1,1,0,0
SJ-I-VFE-RTI1,BKNFI,Yze Cpbftcpo,B,Q,PAY,WN,2,1,1,0,0
UP-I-VHD-RTI1,BKNQH,Yze Cpbftcpo,B,Q,PAY,YT,9,1,1,0,0
OF-I-LUI-FRI1,BKNDH,Yze Cpbftcpo,B,G,YMP,SJ,2,1,2,1,0
KN-I-DFO-QTF,BKNFH,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,Y,AXM,OR,28,3,13,1,1
FW-I-LFK-FRI2,BKNDF,Yze Cpbftcpo,B,G,YMP,JA,13,2,3,1,0
NV-I-SFF-RTI4,BKNRF,Yze Cpbftcpo,B,N,PAY,RZ,1,1,2,0,0
ST-I-LFT-FRI1,BKNFH,Yze Cpbftcpo,B,G,YMP,WX,3,2,3,1,0
KN-I-VFK-FRI5,BKNFH,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,Q,YMP,OR,6,1,4,1,0
U8-I-JFG-FRI2,BKNQG,Spwo,D,E,YMP,BT,6,1,1,0,0
P7-I-PJD-FRI1,BKNFF,Yze Cpbftcpo,A,K,YMP,T7,1,1,1,0,0
RT-I-DFG-FRI7,BKNQG,Spwo,B,Y,YMP,VX,48,5,3,1,0
NX-I-LJV-FRI1,BKNQH,Yze Cpbftcpo,C,G,YMP,RB,2,1,2,0,0
NX-I-FGD-QTF,BKNQH,Yze Cpbftcpo,B,A,AXM,RB,8,1,2,0,0
GF-I-VFV-QTF,BKNRG,Spwo,C,Q,AXM,KJ,12,3,3,0,1
YZ-I-VFJ-FRI13,BKNQG,Spwo,B,Q,YMP,CD,1,1,1,1,0
OT-I-LGW-QTF,BKNQG,Yze Cpbftcpo,A,G,AXM,SX,1,1,2,0,0
PX-I-LIZ-QTF,BKNDF,Yze Cpbftcpo,B,G,AXM,TB,1,1,4,0,0
PX-I-TGX-FRI2,BKNDF,Yze Cpbftcpo,B,O,YMP,TB,1,1,3,0,0
QM-I-IFK-FRI1,BKNFH,Hltgpo,B,D,YMP,UQ,2,1,2,1,0
JL-I-RSB-FRI2,BKNQF,Yze Cpbftcpo,A,M,YMP,NP,2,2,2,0,0
PX-I-VML-QTF,BKNDF,Spwo,C,Q,AXM,TB,2,1,5,0,0
ST-I-SFT-QTF,BKNFH,Spwo,B,N,AXM,WX,1,1,3,0,0
XB-I-TFR-QTF,BKNFH,Spwo,C,O,AXM,BF,1,1,3,0,0
ST-I-VTR-FRI2,BKNFH,Spwo,B,Q,YMP,WX,3,2,1,0,0
U7-I-XFF-FRI6,BKNQG,Spwo,D,S,YMP,AF,2,1,3,0,1
PX-I-VLT-QTF,BKNDF,Spwo,B,Q,AXM,TB,3,1,3,1,0
ZP-I-VIQ-FRI6,BKNFI,Hltgpo,B,Q,YMP,DT,11,2,2,1,0
RK-I-PGD-FRI5,BKNDG,Yze Cpbftcpo,A,K,YMP,VO,2,1,3,0,0
AR-I-VFF-FRI1,BKNDG,Spwo,B,Q,YMP,EV,4,2,2,0,1
NX-I-HGT-QTF,BKNQH,Yze Cpbftcpo,B,C,AXM,RB,1,1,3,0,0
PX-I-IGE-FRI2,BKNDF,Hltgpo,C,D,YMP,TB,1,1,2,0,0
PJ-I-WFI-FRI1,BKNQG,Yze Cpbftcpo,A,R,YMP,TN,1,1,3,0,0
FY-I-SFX-QTF,BKNDG,Hltgpo,B,N,AXM,JC,4,1,4,1,0
SJ-I-TFQ-FRI1,BKNFI,Yze Cpbftcpo,B,O,YMP,WN,1,1,1,0,0
OF-I-XLS-FRI1,BKNDH,Hltgpo,C,S,YMP,SJ,32,1,9,0,1
QJ-I-UFG-FRI2,BKNQG,Yze Cpbftcpo,B,P,YMP,UN,6,1,1,1,0
SB-I-XFF-QTF,BKNFG,Spwo,D,S,AXM,DY,4,1,2,0,0
IG-I-VFF-FRI1,BKNDG,Hltgpo,D,Q,YMP,VO,6,2,2,0,1
FY-I-TGH-QTF,BKNDG,Yze Cpbftcpo,C,O,AXM,JC,1,1,3,0,1
KW-I-FFL-FRI1,BKNFI,Yze Cpbftcpo,C,A,YMP,OA,3,1,1,0,0
IY-I-VGM-FRI1,BKNFH,Hltgpo,D,Q,YMP,KT,3,1,5,0,0
HN-I-HFK-FRI1,BKNDF,Yze Cpbftcpo,B,C,YMP,LR,1,1,1,0,0
PF-I-VFL-QTF,BKNFG,Spwo,D,Q,AXM,DY,5,1,2,0,0
NX-I-LHG-FRI10,BKNQH,Yze Cpbftcpo,B,G,YMP,RB,1,1,2,0,0
JL-I-LFD-FRI4,BKNQF,Hltgpo,B,G,YMP,NP,4,1,4,0,0
YB-I-VFN-RTI8,BKNDH,Yze Cpbftcpo,B,Q,PAY,CF,5,1,1,0,0
LD-I-SJA-QTF,BKNFI,Hltgpo,B,N,AXM,PH,3,2,2,0,0
GF-I-VHE-FRI6,BKNRG,Spwo,C,Q,YMP,KJ,32,6,4,1,0
XW-I-LFL-FRI6,BKNRG,Yze Cpbftcpo,B,G,YMP,BA,40,5,2,0,0
GW-I-VFX-QTF,BKNDF,Hltgpo,B,Q,AXM,KA,3,1,1,1,1
FJ-I-VFS-QTF,BKNRG,Spwo,C,Q,AXM,JN,22,5,7,0,0
UQ-I-DFK-QTF,BKNFG,Spwo,C,Y,AXM,YU,30,4,6,0,0
YM-I-PIC-FRI20,BKNDG,Yze Cpbftcpo,A,K,YMP,CQ,5,1,3,0,0
NX-I-QFJ-RTI1,BKNQH,Yze Cpbftcpo,B,L,PAY,RB,3,2,3,0,0
OF-I-FFT-QTF,BKNDH,Spwo,C,A,AXM,SJ,7,1,5,0,1
OF-I-TIO-QTF,BKNDH,Yze Cpbftcpo,C,O,AXM,SJ,10,1,6,0,1
NX-I-FWF-QTF,BKNQH,Yze Cpbftcpo,C,A,AXM,RB,2,1,7,0,1
YZ-I-XFJ-FRI3,BKNQG,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,S,YMP,CD,4,1,4,0,1
NX-I-LXL-RTI5,BKNQH,Yze Cpbftcpo,B,G,PAY,RB,2,0,1,0,0
GF-I-VHE-FRI3,BKNRG,Spwo,C,Q,YMP,KJ,6,3,5,0,0
NX-I-FGB-RTI1,BKNQH,Yze Cpbftcpo,B,A,PAY,RB,1,1,2,0,0
YB-I-AFN-FRI1,BKNDH,Spwo,B,V,YMP,CF,5,1,3,0,1
HN-I-VFX-FRI1,BKNDF,Hltgpo,B,Q,YMP,LR,6,1,1,1,0
PF-I-QFF-FRI1,BKNFG,Hltgpo,D,L,YMP,DY,1,1,2,1,0
GW-I-VFR-FRI6,BKNDF,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Q,YMP,KA,3,1,1,0,0
XU-I-VFY-FRI16,BKNFI,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Q,YMP,BY,2,1,3,0,0
NI-I-LFO-FRI2,BKNDG,Yze Cpbftcpo,C,G,YMP,RM,2,1,7,0,0
NS-I-XFH-RTI13,BKNDG,Yze Cpbftcpo,B,S,PAY,RW,24,5,2,1,0
XE-I-XFF-QTF,BKNFI,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,S,AXM,BI,40,4,12,1,0
OF-I-LUR-RTI1,BKNDH,Yze Cpbftcpo,B,G,PAY,SJ,1,1,1,0,0
FJ-I-VFH-FRI11,BKNRG,Spwo,B,Q,YMP,JN,6,2,2,0,0
GW-I-PHV-FRI1,BKNDF,Yze Cpbftcpo,A,K,YMP,KA,1,1,1,0,0
YB-I-LHE-FRI2,BKNDH,Yze Cpbftcpo,B,G,YMP,CF,4,1,1,1,0
NX-I-WJL-FRI1,BKNQH,Yze Cpbftcpo,A,R,YMP,RB,1,1,1,0,0
PX-I-VKF-FRI5,BKNDF,Spwo,B,Q,YMP,TB,2,1,4,0,0
OT-I-FFX-QTF,BKNQG,Yze Cpbftcpo,B,A,AXM,SX,13,1,3,1,1
GZ-I-VFM-QTF,BKNFH,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,Q,AXM,KD,5,1,4,0,1
UY-I-PGY-QTF,BKNFI,Yze Cpbftcpo,A,K,AXM,YC,1,1,1,0,0
FZ-I-VFG-FRI10,BKNFG,Hltgpo,C,Q,YMP,JD,16,3,9,0,0
FJ-I-VFS-FRI2,BKNRG,Spwo,B,Q,YMP,JN,13,4,2,0,0
OT-I-LGC-QTF,BKNQG,Yze Cpbftcpo,B,G,AXM,SX,7,2,1,0,0
JL-I-PJU-QTF,BKNQF,Yze Cpbftcpo,A,K,AXM,NP,1,1,1,0,0
NV-I-LGG-QTF,BKNRF,Spwo,C,G,AXM,RZ,3,1,7,0,0
ZP-I-LJZ-QTF,BKNFI,Yze Cpbftcpo,B,G,AXM,DT,2,2,5,1,0
P7-I-SGC-FRI1,BKNFF,Hltgpo,B,N,YMP,T7,1,1,1,0,0
KN-I-IFN-QTF,BKNFH,Spwo,C,D,AXM,OR,7,2,7,0,1
IJ-I-LFN-FRI6,BKNFH,Yze Cpbftcpo,B,G,YMP,MN,3,2,3,0,0
PX-I-TGD-FRI2,BKNDF,Yze Cpbftcpo,B,O,YMP,TB,2,1,1,0,1
GX-I-VFL-QTF,BKNQF,Spwo,D,Q,AXM,JO,3,1,2,0,0
QJ-I-VFL-QTF,BKNQG,Spwo,C,Q,AXM,UN,10,1,5,0,1
PX-I-THF-QTF,BKNDF,Yze Cpbftcpo,C,O,AXM,TB,3,2,4,1,0
NX-I-WIB-FRI1,BKNQH,Yze Cpbftcpo,A,R,YMP,RB,1,1,2,0,0
JL-I-RSB-FRI4,BKNQF,Yze Cpbftcpo,A,M,YMP,NP,1,1,1,0,1
OT-I-DFI-FRI3,BKNQG,Hltgpo,B,Y,YMP,SX,14,1,3,1,1
HS-I-LGU-QTF,BKNDH,Yze Cpbftcpo,B,G,AXM,LW,5,1,1,0,0
XS-I-TFH-FRI1,BKNDG,Yze Cpbftcpo,B,O,YMP,BW,4,2,3,0,1
