Predictor1,Predictor2,Predictor3,Predictor4,Predictor5,Predictor6,Predictor7,Predictor8,Predictor9,Predictor10,Target1,Target2
YZ-I-WSJ-FRI24,BKNQG,Yze Cpbftcpo,A,R,YMP,CD,8,1,1,0,0
XE-I-VFM-FRI3,BKNFI,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,Q,YMP,BI,3,1,3,0,0
XU-I-PJU-FRI3,BKNFI,Yze Cpbftcpo,A,K,YMP,BY,1,1,1,0,0
HN-I-LGW-RTI3,BKNDF,Yze Cpbftcpo,B,G,PAY,LR,2,1,1,1,0
SE-I-VFL-FRI3,BKNDG,Hltgpo,C,Q,YMP,WI,4,1,4,0,1
NX-I-FJY-QTF,BKNQH,Yze Cpbftcpo,C,A,AXM,RB,2,1,6,0,1
KN-I-XFG-QTF,BKNFH,Hltgpo,C,S,AXM,OR,33,5,15,1,0
KW-I-VFR-FRI4,BKNFI,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Q,YMP,OA,16,3,7,1,0
OF-I-DFU-FRI1,BKNDH,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Y,YMP,SJ,2,1,3,1,0
U7-I-XFF-FRI2,BKNQG,Spwo,D,S,YMP,AF,8,2,1,0,0
GW-I-UZS-FRI10,BKNDF,Yze Cpbftcpo,B,P,YMP,KA,6,2,1,1,0
JL-I-XFI-QTF,BKNQF,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,S,AXM,NP,80,10,13,1,1
LD-I-IJS-FRI1,BKNFI,Hltgpo,C,D,YMP,PH,1,1,3,0,0
SJ-I-DFL-FRI1,BKNFI,Spwo,C,Y,YMP,WN,1,1,3,1,0
FW-I-VFE-FRI1,BKNDF,Spwo,C,Q,YMP,JA,13,7,4,1,0
UY-I-VGL-QTF,BKNFI,Spwo,C,Q,AXM,YC,54,7,9,0,1
ST-I-VFE-FRI9,BKNFH,Hltgpo,B,Q,YMP,WX,9,3,2,0,0
GJ-I-TFG-FRI4,BKNFI,Yze Cpbftcpo,B,O,YMP,KN,3,2,2,0,0
NI-I-VFX-FRI2,BKNDG,Hltgpo,B,Q,YMP,RM,3,1,2,1,0
YP-I-SFS-QTF,BKNFF,Hltgpo,B,N,AXM,CT,6,1,1,0,0
NX-I-VJC-RTI3,BKNQH,Yze Cpbftcpo,B,Q,PAY,RB,1,1,1,1,1
ST-I-IFL-QTF,BKNFH,Spwo,C,D,AXM,WX,1,1,2,0,0
B4-I-UFF-FRI4,BKNFF,Yze Cpbftcpo,A,P,YMP,F4,2,1,3,1,0
PX-I-VKL-FRI3,BKNDF,Spwo,B,Q,YMP,TB,9,2,4,0,0
NX-I-FIN-QTF,BKNQH,Yze Cpbftcpo,B,A,AXM,RB,4,1,2,0,0
VF-I-LFK-RTI2,BKNRF,Yze Cpbftcpo,B,G,PAY,ZJ,1,1,2,0,0
FY-I-LHY-FRI1,BKNDG,Yze Cpbftcpo,B,G,YMP,JC,1,1,2,0,0
FY-I-IFQ-RTI1,BKNDG,Yze Cpbftcpo,B,D,PAY,JC,1,1,1,0,0
NI-I-XFK-QTF,BKNDG,Spwo,C,S,AXM,RM,90,12,18,1,0
RI-I-QFF-QTF,BKNFG,Spwo,C,L,AXM,VM,7,2,3,0,1
ST-I-VGZ-FRI1,BKNFH,Spwo,B,Q,YMP,WX,1,1,1,0,0
NX-I-RCB-FRI4,BKNQH,Yze Cpbftcpo,A,M,YMP,RB,5,1,1,0,0
FY-I-TFD-QTF,BKNDG,Yze Cpbftcpo,B,O,AXM,JC,2,1,6,0,0
SJ-I-RFJ-QTF,BKNFI,Yze Cpbftcpo,C,M,AXM,WN,8,2,3,0,0
YB-I-VGF-QTF,BKNDH,Spwo,C,Q,AXM,CF,4,1,6,0,0
XU-I-IFX-QTF,BKNFI,Spwo,C,D,AXM,BY,6,1,4,0,0
OT-I-VHZ-FRI3,BKNQG,Spwo,C,Q,YMP,SX,9,3,2,0,1
UN-I-VFS-FRI2,BKNDG,Hltgpo,B,Q,YMP,YR,5,1,4,0,0
B4-I-TFF-FRI1,BKNFF,Yze Cpbftcpo,C,O,YMP,F4,1,1,4,0,0
S4-I-FFR-QTF,BKNFF,Spwo,C,A,AXM,W4,3,1,5,0,1
HS-I-UXG-RTI1,BKNDH,Yze Cpbftcpo,B,P,PAY,LW,3,2,2,1,0
NX-I-PID-RTI1,BKNQH,Yze Cpbftcpo,A,K,PAY,RB,5,1,1,0,0
ST-I-KFF-FRI1,BKNFH,Spwo,B,F,YMP,WX,9,2,1,0,0
KW-I-IFS-FRI1,BKNFI,Hltgpo,C,D,YMP,OA,32,3,3,0,0
S1-I-LFT-QTF,BKNFF,Yze Cpbftcpo,B,G,AXM,W1,1,1,3,0,0
YP-I-TFP-QTF,BKNFF,Yze Cpbftcpo,B,O,AXM,CT,1,1,1,0,0
PX-I-VJW-FRI3,BKNDF,Spwo,B,Q,YMP,TB,2,1,3,1,0
UQ-I-TFO-QTF,BKNFG,Yze Cpbftcpo,C,O,AXM,YU,1,1,3,0,0
HN-I-VFJ-FRI10,BKNDF,Spwo,B,Q,YMP,LR,12,2,3,0,1
OT-I-VGY-FRI2,BKNQG,Spwo,C,Q,YMP,SX,3,1,2,0,1
SJ-I-IFY-QTF,BKNFI,Spwo,C,D,AXM,WN,1,1,4,0,1
OT-I-LGH-FRI1,BKNQG,Yze Cpbftcpo,B,G,YMP,SX,4,3,4,0,0
OF-I-PIF-QTF,BKNDH,Yze Cpbftcpo,A,K,AXM,SJ,1,1,1,0,0
OF-I-JFI-QTF,BKNDH,Yze Cpbftcpo,B,E,AXM,SJ,1,1,3,0,1
PX-I-LII-FRI1,BKNDF,Yze Cpbftcpo,B,G,YMP,TB,5,1,3,0,0
HN-I-VFG-FRI14,BKNDF,Spwo,C,Q,YMP,LR,14,3,5,1,0
NX-I-LHU-RTI2,BKNQH,Yze Cpbftcpo,B,G,PAY,RB,1,1,1,0,0
NS-I-VFI-RTI4,BKNDG,Yze Cpbftcpo,B,Q,PAY,RW,1,1,1,0,0
GW-I-WFP-FRI2,BKNDF,Yze Cpbftcpo,A,R,YMP,KA,1,1,1,0,0
SA-I-WFP-FRI1,BKNDG,Yze Cpbftcpo,D,R,YMP,LN,1,1,2,0,0
YP-I-FGM-QTF,BKNFF,Yze Cpbftcpo,C,A,AXM,CT,1,1,5,0,0
SN-I-DFG-RTI1,BKNQG,Yze Cpbftcpo,B,Y,PAY,WR,2,1,1,1,0
OF-I-VJD-QTF,BKNDH,Hltgpo,B,Q,AXM,SJ,2,1,3,0,0
NX-I-WID-FRI4,BKNQH,Yze Cpbftcpo,A,R,YMP,RB,1,1,1,0,0
NY-I-FFN-QTF,BKNFI,Yze Cpbftcpo,C,A,AXM,RC,13,1,10,1,1
YB-I-DUM-RTI1,BKNDH,Yze Cpbftcpo,B,Y,PAY,CF,3,0,1,0,0
XW-I-VIX-QTF,BKNRG,Spwo,B,Q,AXM,BA,17,3,6,0,1
OT-I-VHD-FRI4,BKNQG,Hltgpo,B,Q,YMP,SX,2,1,1,0,0
UY-I-QFK-QTF,BKNFI,Yze Cpbftcpo,B,L,AXM,YC,1,1,1,1,1
HS-I-VEE-RTI3,BKNDH,Yze Cpbftcpo,B,Q,PAY,LW,30,3,3,0,0
YP-I-HGH-QTF,BKNFF,Yze Cpbftcpo,B,C,AXM,CT,1,1,1,1,0
PX-I-LIS-FRI1,BKNDF,Yze Cpbftcpo,B,G,YMP,TB,2,1,1,1,0
JL-I-LSR-FRI10,BKNQF,Yze Cpbftcpo,C,G,YMP,NP,7,3,6,1,1
NX-I-LJO-QTF,BKNQH,Yze Cpbftcpo,B,G,AXM,RB,1,1,6,0,0
RZ-I-TFJ-RTI1,BKNQF,Yze Cpbftcpo,B,O,PAY,VD,1,1,1,0,0
OT-I-LGN-FRI1,BKNQG,Yze Cpbftcpo,C,G,YMP,SX,4,1,4,0,0
SA-I-VFG-QTF,BKNFH,Spwo,D,Q,AXM,UQ,3,1,3,0,0
PF-I-IFG-FRI1,BKNFG,Spwo,D,D,YMP,DY,1,1,2,0,0
NX-I-HFT-FRI3,BKNQH,Yze Cpbftcpo,B,C,YMP,RB,1,1,2,0,0
P7-I-SGB-FRI3,BKNFF,Hltgpo,B,N,YMP,T7,2,2,2,0,0
OT-I-HGD-FRI2,BKNQG,Spwo,B,C,YMP,SX,1,1,2,0,0
XS-I-LKQ-QTF,BKNDG,Yze Cpbftcpo,B,G,AXM,BW,1,1,3,0,0
NV-I-FFG-FRI4,BKNRF,Spwo,B,A,YMP,RZ,3,3,3,1,0
YP-I-LIZ-QTF,BKNFF,Yze Cpbftcpo,B,G,AXM,CT,2,1,2,0,1
UQ-I-DFJ-FRI4,BKNFG,Spwo,C,Y,YMP,YU,16,1,5,0,1
HS-I-HFI-QTF,BKNDH,Yze Cpbftcpo,B,C,AXM,LW,1,1,1,0,0
HN-I-PGG-FRI13,BKNDF,Yze Cpbftcpo,A,K,YMP,LR,1,1,2,0,0
PF-I-QFG-QTF,BKNFG,Yze Cpbftcpo,D,L,AXM,DY,2,1,2,1,0
OT-I-PIN-RTI1,BKNQG,Yze Cpbftcpo,A,K,PAY,SX,1,1,1,0,0
UQ-I-VFB-FRI2,BKNFG,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,Q,YMP,YU,13,3,7,1,0
LW-I-VHJ-RTI1,BKNFF,Yze Cpbftcpo,B,Q,PAY,PA,1,1,1,0,0
XW-I-LFE-FRI1,BKNRG,Yze Cpbftcpo,B,G,YMP,BA,2,1,3,1,0
XW-I-IFL-FRI3,BKNRG,Hltgpo,B,D,YMP,BA,6,1,2,0,1
PX-I-UFT-FRI1,BKNDF,Yze Cpbftcpo,B,P,YMP,TB,10,5,3,0,0
FJ-I-VFN-RTI2,BKNRG,Yze Cpbftcpo,B,Q,PAY,JN,9,1,2,0,0
SU-I-XFH-FRI1,BKNDG,Spwo,B,S,YMP,WY,8,2,1,0,0
FY-I-VIH-QTF,BKNDG,Hltgpo,B,Q,AXM,JC,2,1,2,0,1
LD-I-XZF-FRI2,BKNFI,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,S,YMP,PH,58,7,8,0,0
P7-I-UTB-FRI6,BKNFF,Yze Cpbftcpo,B,P,YMP,T7,5,2,1,0,0
GJ-I-DHL-FRI2,BKNFI,Spwo,C,Y,YMP,KN,10,3,14,0,0
LD-I-VBZ-FRI11,BKNFI,Hltgpo,B,Q,YMP,PH,1,1,3,1,0
HS-I-RFM-QTF,BKNDH,Yze Cpbftcpo,C,M,AXM,LW,1,1,1,1,1
PX-I-LHO-FRI1,BKNDF,Yze Cpbftcpo,B,G,YMP,TB,1,1,1,0,0
UN-I-VFP-FRI4,BKNDG,Hltgpo,C,Q,YMP,YR,8,1,4,0,0
FY-I-VHV-RTI1,BKNDG,Yze Cpbftcpo,B,Q,PAY,JC,1,1,1,0,0
IB-I-VFJ-FRI1,BKNFH,Spwo,D,Q,YMP,NW,2,1,1,0,0
UN-I-VFT-RTI2,BKNDG,Yze Cpbftcpo,B,Q,PAY,YR,1,1,1,0,0
NX-I-XFH-FRI9,BKNQH,Hltgpo,C,S,YMP,RB,19,2,5,0,0
PX-I-VJB-FRI5,BKNDF,Spwo,B,Q,YMP,TB,5,2,3,0,0
PX-I-IHN-QTF,BKNDF,Spwo,B,D,AXM,TB,4,1,6,0,1
YB-I-LIL-FRI1,BKNDH,Yze Cpbftcpo,B,G,YMP,CF,1,1,2,1,1
FY-I-DFK-FRI5,BKNDG,Hltgpo,C,Y,YMP,JC,25,2,3,0,1
YM-I-WFN-FRI7,BKNDG,Yze Cpbftcpo,A,R,YMP,CQ,1,1,1,0,0
SP-I-XFG-QTF,BKNQG,Spwo,B,S,AXM,WT,1,1,1,0,1
LD-I-DFI-QTF,BKNFI,Hltgpo,C,Y,AXM,PH,30,3,8,0,0
NX-I-PIC-FRI1,BKNQH,Yze Cpbftcpo,A,K,YMP,RB,1,1,1,0,0
PX-I-VHD-RTI4,BKNDF,Yze Cpbftcpo,B,Q,PAY,TB,2,1,1,0,1
NX-I-LIE-FRI1,BKNQH,Yze Cpbftcpo,B,G,YMP,RB,2,1,3,1,0
NX-I-VKQ-FRI6,BKNQH,Spwo,B,Q,YMP,RB,5,1,1,0,1
KW-I-IFP-FRI2,BKNFI,Hltgpo,C,D,YMP,OA,3,2,2,0,0
